document_id,main_category,sub_category
10430,cs,IT
09658,astro-ph,CO
00102,cs,CL
03842,cond-mat,mes-hall
00417,math,FA
08674,physics,comp-ph
01996,cs,NI
05775,math,AT
05205,nucl-ex,
07041,math,CV
00407,gr-qc,
10069,math,AP
07958,gr-qc,
01234,math,CV
10592,math,AP
06792,cs,CL
01431,cond-mat,str-el
06176,cs,CL
08938,cs,NI
07240,physics,plasm-ph
08819,physics,soc-ph
06045,math,FA
02611,math-ph,
03433,math-ph,
05273,nlin,CD
08191,cs,NI
09504,cs,DC
01028,math,AP
08218,cond-mat,soft
07683,stat,ME
00717,cond-mat,mtrl-sci
07532,eess,SP
02919,nucl-th,
10511,physics,plasm-ph
03162,cs,NI
08111,math,RT
04638,math,GR
03810,math,AP
07677,astro-ph,HE
06629,physics,optics
06795,math,AG
02234,cond-mat,str-el
08926,cs,CV
09610,math,AP
00734,cs,CC
02988,math,AP
02063,gr-qc,
01966,gr-qc,
02106,stat,CO
03139,physics,optics
09403,cs,LG
02215,cond-mat,soft
08421,q-bio,GN
06573,physics,ins-det
05149,cs,CL
05162,cond-mat,mes-hall
00809,physics,comp-ph
00507,stat,ML
08907,physics,chem-ph
05175,physics,app-ph
06218,astro-ph,IM
02633,astro-ph,GA
05976,cond-mat,str-el
09254,astro-ph,IM
08586,cs,SI
06784,cond-mat,mes-hall
06748,physics,app-ph
01459,cond-mat,str-el
10411,cond-mat,mtrl-sci
07610,nucl-th,
10441,cs,CV
07977,math-ph,
10552,cs,IT
02270,cs,AI
01908,math,LO
04486,cs,AI
10599,cs,RO
06450,cs,NI
00227,hep-th,
03041,physics,plasm-ph
01883,astro-ph,GA
01229,cs,SI
03154,hep-th,
09439,cond-mat,mes-hall
05667,cs,AI
02582,hep-th,
06510,cs,CV
09761,physics,app-ph
07928,hep-ph,
05441,quant-ph,
06845,cs,LG
02788,cs,LG
02659,cond-mat,supr-con
00601,physics,flu-dyn
08835,cond-mat,str-el
06494,cs,DM
02355,cond-mat,supr-con
06422,cs,CL
07957,cond-mat,str-el
07950,cond-mat,str-el
08810,astro-ph,CO
10591,cond-mat,dis-nn
00531,astro-ph,GA
04877,hep-ph,
04117,cs,SI
10507,math,AG
09580,math,MG
04937,astro-ph,HE
07714,astro-ph,SR
01350,gr-qc,
07737,cs,CL
05860,cond-mat,mtrl-sci
01231,cs,LO
00846,math,NA
03919,quant-ph,
02863,physics,ins-det
08821,math,ST
10603,cs,IR
06817,cond-mat,soft
03281,cond-mat,mes-hall
08661,math,AP
02933,cond-mat,mes-hall
06035,math,AT
05690,gr-qc,
01194,math,AG
08708,physics,bio-ph
01376,physics,bio-ph
06366,math,OC
05101,cs,IT
08947,hep-ph,
09099,math,CA
00044,math,CO
00573,math,FA
01809,physics,flu-dyn
07287,astro-ph,SR
04055,cs,LG
05612,math,DS
02773,astro-ph,CO
03578,cs,DC
07151,hep-th,
08581,math,OC
01524,cond-mat,str-el
05445,astro-ph,SR
05043,math,PR
09860,nlin,PS
02653,physics,bio-ph
02008,math,AP
03557,cs,IT
00364,stat,ML
03553,cs,IT
00826,stat,CO
06385,physics,plasm-ph
06283,hep-ex,
03291,cs,NI
07150,cs,SI
03523,stat,ML
09785,cond-mat,mes-hall
08075,cond-mat,mtrl-sci
06231,hep-ph,
00505,math,OC
04465,hep-ph,
07372,cs,CV
10031,eess,IV
05163,math,MG
02153,cond-mat,mes-hall
01465,quant-ph,
03598,hep-ph,
07398,math,GR
09760,astro-ph,IM
08042,physics,optics
06110,math,NT
08371,quant-ph,
00449,cond-mat,quant-gas
03230,cs,CV
00477,cond-mat,mtrl-sci
01300,math,DG
01165,math,GR
10085,gr-qc,
08446,cs,LO
07303,math,DG
02927,math,CT
02601,math,CO
04797,math,AT
05835,physics,flu-dyn
08889,math,AP
09135,eess,IV
08197,astro-ph,GA
04758,cond-mat,mes-hall
03205,math,CV
10370,cs,IT
02409,nlin,CD
05154,math,CO
04402,math,AP
07820,astro-ph,HE
07853,cs,CV
00886,cs,CV
07809,math,OC
00961,math,RA
07961,cs,SY
06521,cond-mat,mtrl-sci
10292,cs,IT
04106,math,CO
02650,math,CV
05694,cs,CV
02090,math,ST
03526,cs,AI
03696,cond-mat,str-el
03905,cs,LG
00219,math,GR
