document_id,email_domain
document_id,email_address
03304,umontpellier.fr
05992,gmail.com
05782,gmail.com
08934,unicyb.kiev.ua
01328,pdmi.ras.ru
10214,usherbrooke.ca
05689,zurich.ibm.com
00897,mdpi.com
00897,gmail.com
00897,physics.org
04416,csiro.au
04244,bcamath.org
04244,bcamath.org
04528,pwr.edu.pl
04528,gmail.com
04855,iopb.res.in
04855,iopb.res.in
04855,ba.infn.it
05467,galaxy.far.far.away
05467,stsci.edu
02461,esa.int
03801,gmail.com
01220,unthsc.edu
01220,gmail.com
02221,mun.ca
07956,163.com
03715,ifmpan.poznan.pl
01793,eurecom.com
01488,cern.ch
00176,college-de-france.fr
02386,theor.jinr.ru
02386,gmail.com
07847,impu.jp
05006,gmail.com
05206,acm.org
05206,hq.acm.org
05206,acm.org
05206,mathema.de
07611,uni-math.gwdg.de
10603,x-0.01019210944
10603,x0.04453994279pt
10603,x-0.1195159052pt
10603,x0.4993615349pt
10603,x1.000012594pt
10603,temp.0
01342,toptica.com
08181,catt.cn
06833,gmail.com
10607,college.harvard.ed
02219,gmail.com
07036,gmail.com
02235,cea.fr
01258,gemss-medical.com
01716,csfk.mta.hu
02209,gmail.com
04701,gmail.com
04701,alibaba-inc.com
04701,163.com
09023,hotmail.com
09283,renyi.hu
00803,gmail.com
07763,ipmu.jp
07763,aas.org
01282,im.bas-net.by
01917,gmail.com
01917,gmail.com
01917,gmail.com
05236,ubiquitypress.com
05236,example.com
05236,example.com
05442,mpia.de
02415,mpp.mpg.de
04690,esss.se
05563,mis.mpg.de
00195,ifj.edu.pl
00195,gmail.com
00195,enea.it
06499,desy.de
06499,desy.de
06499,desy.de
06499,desy.de
00373,gmail.com
01274,gmail.com
01274,academyofathens.gr
05576,gmail.com
05576,math.univ-paris-diderot.fr
03541,cox.net
01163,gmail.com
05802,acm.org
05802,acm.org
05802,cwi.nl
05802,uol.de
05802,telefonica.com
05802,offis.de
05802,uol.de
05830,cbpf.br
05274,imec.be
05274,gmail.com
06057,gmail.com
06713,mdpi.com
06713,e-mail.com
06725,inria.fr
00858,sri.com
00858,sri.com
00508,google.com
05490,gmail.com
05490,gmail.com
09957,institution.edu
09957,pwr.edu.pl
09957,gmail.com
02668,acm.org
02668,acm.org
08091,gmail.com
08091,yahoo.co.uk
04585,cern.ch
04585,fuw.edu.pl
01710,joanneum.at
01710,itec.aau.at
01710,ait.ac.at
00180,isc.cnr.it
03872,gmail.com
03872,fnal.gov
09303,adobe.com
09303,intel.com
09303,adobe.com
03275,xfel.eu
04440,inasan.ru
00907,diu.edu.bd
06729,i1.org
06729,gmail.com
00518,example.com
05544,gmail.com
03847,unimore.it
03847,unimore.it
03847,unimore.it
01221,us.ibm.com
01221,us.ibm.com
01221,us.ibm.com
01221,cwi.nl
03273,cpfs.mpg.de
09383,gmail.com
09383,gmail.com
09383,jbnu.ac.kr
02225,gmail.com
08818,tdsecurities.com
10416,gssi.it
05621,bo.infn.it
05621,bo.infn.it
05621,gmail.com
07564,ie.ibm.com
07564,ie.ibm.com
07564,ie.ibm.com
02025,ous-hf.no
02025,joanneum.at
02025,joanneum.at
04866,tifrbng.res.in
04866,tifrbng.res.in
02243,autsubmit.com
02243,gmail.com
02243,gmail.com
02243,gmail.com
02243,gmail.com
02243,gmail.com
02243,gmail.com
05800,ign.fr
05800,ign.fr
01427,obs-besancon.fr
01427,oca.eu
04145,cambridge.org
07688,ncra.tifr.res.in
00427,ULiege.be
06056,gmail.com
06056,gmail.com
06056,gmail.com
05577,gmail.com
05577,math.univ-paris-diderot.fr
09815,mail.ru
09815,yandex.ru
04110,informs.org
04110,gmail.com
04110,126.com
03487,gmail.com
03487,gmail.com
06714,nas.edu
06714,nas.edu
01458,list.ru
07814,nokia-bell-labs.com
07814,beauxbatons.edu
07494,gemini.edu
07494,arcetri.astro.it
05952,126.com
05952,swansea.ac.uk
00893,gmail.com
00893,mail.nsysu.edu.tw
04321,gmail.com
04760,gmail.com
04760,latextemplates.com
04760,cern.ch
04760,cern.ch
08192,theor.jinr.ru
08192,theor.jinr.ru
07651,cfel.de
05537,thesimpsons.com
10423,address.edu
10423,oeaw.ac.at
08286,mi.ran.ru
08286,ipmu.jp
06566,gmail.com
07638,gmail.com
00157,univ-smb.fr
00157,math.univ-bordeaux.fr
09459,gmail.com
09481,gmail.com
08279,mail.ru
04495,verizon.net
03728,itu.edu.pk
03728,comsats.edu.pk
03728,gmail.com
09068,b-tu.de
09068,b-tu.de
09068,fz-juelich.de
08146,brera.inaf.it
02317,gmail.com
05154,unistra.fr
05154,gmail.com
01662,gmail.com
01662,mail.ncku.edu.tw
02949,bcamath.org
02949,bcamath.org
08209,obs.ee
08209,obs.ee
08209,gtc.iac.es
08209,eso.org
09366,qq.com
05557,gmail.com
04458,spring8.or.jp
03747,gmail.com
01786,fuw.edu.pl
01786,fuw.edu.pl
01786,fuw.edu.pl
03375,iacs.res.in
03375,iacs.res.in
03375,gmail.com
03375,gmail.com
06958,kipt.kharkov.ua
08890,astro.ioffe.rssi.ru
08890,yahoo.com
08890,umontpellier.fr
08890,mail.ru
02813,ims.ac.jp
09338,address.edu
09338,address.edu
09338,address.edu
09338,address.edu
09338,address.edu
09338,address.edu
09338,address.edu
09338,address.edu
09338,address.edu
09338,bedrock.edu
09338,address.edu
04948,iucaa.in
04948,iucaa.in
04948,rambler.ru
00271,cern.ch
05135,yahoo.com
08599,nih.gov
08599,nih.gov
08319,gmail.com
00989,edu.asu.edu.eg
03889,uniroma2.it
02146,gmail.com
09942,jinr.ru
09942,jinr.ru
02298,gmail.com
02298,gmail.com
07605,aps.org
07605,tuhh.de
06644,uni-corvinus.hu
00037,mi.ras.ru
01635,galaxy.net
01635,bnl.gov
02908,gmail.com
10588,orange.com
10588,orange.com
10588,gmail.com
10588,wias-berlin.de
10588,wias-berlin.de
04435,mail.com
04435,gmail.com
02833,haw-hamburg.de
02833,riot-os.org
02833,haw-hamburg.de
02833,inria.fr
02833,schleiser.de
02833,haw-hamburg.de
05028,mohanmurthy.com
07002,gmail.com
06979,yahoo.co.in
06979,gmail.com
06979,theor.jinr.ru
06979,glasgow.ac.uk
06979,nbi.dk
06979,itep.ru
08270,gmail.com
09229,m-tech.aau.dk
05288,lbl.gov
05288,lbl.gov
04992,sap.com
04992,sap.com
04847,cern.ch
04847,cern.ch
06749,gomilko.com
06749,mat.umk.pl
06749,impan.pl
10603,x57.29577
04240,tu-dortmund.de
09010,e-mail.com
09010,e-mail.com
04472,mehr.sharif.edu
09042,i1.org
09042,i1.org
09042,i2.org
05100,acm.org
03405,cea.fr
03405,cea.fr
01723,126.com
01723,shnu.edu.cn
01723,shnu.edu.cn
01723,shnu.edu.cn
05980,mpq.mpg.de
06888,symplectic.demon.co.uk
06650,cs.cas.cz
06650,ub.edu
09701,flatironinstitute.org
09701,iap.fr
09701,theory.tifr.res.in
09701,iap.fr
05143,163.com
05143,126.com
09211,ihep.ru
00920,turambar.org
00920,turambar.org
03559,mmj.pl
01508,uni2.edu
04375,us.ibm.com
07443,riken.jp
00231,inbox.ru
09528,ymail.com
06654,cs.cas.cz
06654,ub.edu
05823,foxmail.com
05823,ieee.org
02312,gmail.com
08926,i1.org
08926,i2.org
03359,gmail.com
05509,tyndall.ie
09805,microsoft.com
09805,microsoft.com
00584,ieee.org
09508,barc.gov.in
09703,ipht.fr
09703,ipht.fr
09703,ipht.fr
06172,gmail.com
06172,yahoo-inc.com
06172,acm.org
05689,netc.fr
05689,mail.mil
00454,ieee.org
00454,ieee.org
04094,gmail.com
04094,gmail.com
08958,eso.org
08862,inbox.ru
02734,NLOv2.4.3
06115,gmail.com
06115,gmail.com
01362,gmail.com
06393,inria.fr
01439,Uni-Mainz.de
01439,kit.edu
03105,cea.fr
04718,ifae.es
07614,ehu.eus
07614,nokia-bell-labs.com
01699,suou.waseda.jp
01699,fuji.waseda.jp
01699,waseda.jp
01699,beauxbatons.edu
07482,vecc.gov.in
07482,vecc.gov.in
10174,cern.ch
03463,wigner.mta.hu
08309,ed.tmu.ac.jp
08309,tmu.ac.jp
04527,163.com
05177,ipia.sci.am
01983,nims.go.jp
09995,cern.ch
08453,ehu.eus
08453,mat.uab.cat
07760,gmail.com
06318,gmail.com
00900,gmail.com
09809,lbl.gov
09809,lbl.gov
09809,lbl.gov
09809,163.com
09809,simula.no
10162,iac.es
07012,umontpellier.fr
07012,cirad.fr
06655,jku.at
06655,jku.at
00963,mun.ca
00700,gmail.com
00782,ub.ac.ir
04195,mat.uab.cat
04195,mat.uab.cat
06860,renyi.mta.hu
06860,renyi.mta.hu
06699,prl.res.in
08490,gmail.com
07794,ice.csic.es
05224,orange.com
00793,dark-cosmology.dk
00793,dark-cosmology.dk
04123,gmail.com
05450,gmail.com
02988,fsm.rnu.tn
02988,hotmail.fr
05568,yahoo.in
05568,utu.ac.in
05568,utu.ac.in
05568,thesimpsons.com
02036,yahoo.fr
02036,yahoo.fr
02036,yahoo.fr
03457,briat.info
03457,gipsa-lab.grenoble-inp.fr
07752,ipm.ir
07752,ipm.ir
07752,theory.ipm.ac.ir
05690,ias.edu
10407,lal.in2p3.fr
06790,i1.org
10274,gmail.com
04419,gmail.com
07369,sina.com
02874,cpt.univ-mrs.fr
01271,hcmus.edu.vn
01271,hcmus.edu.vn
01271,hcmus.edu.vn
03151,gmail.com
07571,crc.gc.ca
07571,crc.ca
03414,usm.cl
03414,math.sunysb.edu
07489,bo.infn.it
07489,bo.infn.it
07489,theor.jinr.ru
09188,hnu.edu.cn
09188,sina.com
00832,Dartmouth.edu
07973,tsinghua.org.cn
09836,gmail.com
06879,gmail.com
05040,radboudumc.nl
05040,radboudumc.nl
10034,gmail.com
10034,gmail.com
10034,gmail.com
09417,gmail.com
09417,roma1.infn.it
